iter	Passed	Remaining
318	2863	6112
319	2871	6102
320	2880	6093
321	2890	6085
322	2899	6076
323	2908	6068
324	2917	6059
325	2928	6054
326	2937	6046
327	2945	6035
328	2954	6025
329	2962	6015
330	2972	6007
331	2981	5999
332	2990	5989
333	2999	5980
334	3007	5969
335	3016	5961
336	3026	5953
337	3035	5945
338	3044	5936
339	3052	5924
340	3060	5915
341	3069	5906
342	3077	5894
343	3084	5881
344	3092	5871
345	3100	5860
346	3108	5850
347	3117	5840
348	3126	5832
349	3134	5821
350	3145	5815
351	3154	5806
352	3164	5799
353	3174	5793
354	3183	5784
355	3192	5774
356	3201	5766
357	3211	5759
358	3219	5748
359	3229	5740
360	3239	5734
361	3248	5724
362	3259	5720
363	3272	5717
364	3282	5710
365	3292	5703
366	3300	5693
367	3310	5684
368	3320	5678
369	3331	5672
370	3344	5670
371	3356	5666
372	3365	5657
373	3375	5650
374	3385	5642
375	3396	5635
376	3407	5631
377	3418	5624
378	3429	5618
379	3441	5615
380	3451	5607
381	3462	5602
382	3471	5592
383	3482	5585
384	3493	5580
385	3505	5576
386	3516	5570
387	3528	5565
388	3538	5557
389	3551	5555
390	3561	5547
391	3571	5539
392	3583	5535
393	3595	5529
394	3604	5520
395	3614	5513
396	3624	5505
397	3636	5500
398	3645	5490
399	3656	5484
400	3665	5475
401	3676	5469
402	3687	5462
403	3698	5455
404	3709	5449
405	3720	5442
406	3731	5436
407	3739	5425
408	3750	5419
409	3759	5410
410	3771	5405
411	3781	5396
